root,root2,category,definition,1970.f,1970.s,1980.f,1980.s,1990.f,1990.s,2000.f,2000.s,2010.f,2010.s,,,,,,,,
state,state,id,,state,state,state,state,state,state,state,state,state,statea,,,,,,,,
county,county,id,,county,county,county,county,county,county,county,county,county,countya,,,,,,,,
tract,tract,id,,tract,tract,tract,tract,tract,tract,tract,tract,tract,tracta,,,,,,,,
trtid,trtid,id,,TRTID10,TRTID10,TRTID10,trtid10,TRTID10,TRTID10,TRTID10,TRTID10,tractid,tractid,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
cbsa,cbsa,tract attribute,,cbsa10,cbsa10,cbsa10,cbsa10,cbsa10,cbsa10,cbsa10,cbsa10,,,,,,,,,,
ccflag,ccflag,tract attribute,,ccflag10,ccflag10,ccflag10,ccflag10,ccflag10,ccflag10,ccflag10,ccflag10,,,,,,,,,,
metdiv,metdiv,tract attribute,,metdiv10,metdiv10,metdiv10,metdiv10,metdiv10,metdiv10,metdiv10,metdiv10,,,,,,,,,,
placefp,placefp,tract attribute,,placefp10,placefp10,placefp10,placefp10,placefp10,placefp10,placefp10,placefp10,,,,,,,,,,
globd,globd,tract attribute,,,,GlobD80,,GlobD90,,GlobD00,,GlobD10,,,,,,,,,
globg,globg,tract attribute,,,,GlobG80,,GlobG90,,GlobG00,,GlobG10,,,,,,,,,
placefp,placefp,tract attribute,,,,placefp10,placefp10,placefp10,placefp10,placefp10,placefp10,,,,,,,,,,
cbsa,cbsa,tract attribute,,,,cbsa10,cbsa10,cbsa10,cbsa10,cbsa10,cbsa10,,,,,,,,,,
metdiv,metdiv,tract attribute,,,,metdiv10,metdiv10,metdiv10,metdiv10,metdiv10,metdiv10,,,,,,,,,,
ccflag,ccflag,tract attribute,,,,ccflag10,ccflag10,ccflag10,ccflag10,ccflag10,ccflag10,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
a15asn,a15asn,age-race,"0-15 years old of Asians and Pacific Islanders (in 1980, 0-14 years old of Asians/Pacific Islanders; in 2008-12 ACS, 0-14 years old of Asian/Pacific Islander race)",,,,a15asn80,A15ASN90,,A15ASN00,,a15asn10,a15asn12,,,,,,,,
a15blk,a15blk,age-race,"0-15 years old of black race (in 1980, 0-14 years old of black race; in 2006- 10 ACS, 0-14 years old of black race)",A15BLK70,,,a15blk80,A15BLK90,,A15BLK00,,a15blk10,a15blk12,,,,,,,,
a15hsp,a15hsp,age-race,"0-15 years old, persons of Hispanic origins (in 1980, 0-14 years old, persons of Hispanic origin; in 2008-12 ACS, 0-14 years old, persons of Hispanic origins) ",,,,a15hsp80,A15HSP90,,A15HSP00,,a15hsp10,a15hsp12,,,,,,,,
a15ntv,a15ntv,age-race,"0-15 years old of Native American race (in 1980, 0-14 years old of Native American race; in 2008-12 ACS, 0-14 years old of Native American race) ",,,,a15ntv80,A15NTV90,,A15NTV00,,a15ntv10,a15ntv12,,,,,,,,
a15wht,a15wht,age-race,"0-15 years old of white race (in 1980, 0-14 years old of white race; in 2006- 10 ACS, 0-14 years old of white race)",A15WHT70,,,a15wht80,A15WHT90,,A15WHT00,,a15wht10,a15wht12,,,,,,,,
a18und,a18und,age,persons age 17 years and under,A18UND70,,A18UND80,,A18UND90,,A18UND00,,a18und10,a18und12,,,,,,,,
a60asn,a60asn,age-race,60 years and older of Asians and Pacific Islanders ,,,,a60asn80,A60ASN90,,A60ASN00,,a60asn10,,,,,,,,,
a60blk,a60blk,age-race,60 years and older of black race,A60BLK70,,,a60blk80,A60BLK90,,A60BLK00,,a60blk10,,,,,,,,,
a60hsp,a60hsp,age-race,"60 years and older, persons of Hispanic origins ",,,,a60hsp80,A60HSP90,,A60HSP00,,a60hsp10,,,,,,,,,
a60ntv,a60ntv,age-race,60 years and older of Native American race ,,,,a60ntv80,A60NTV90,,A60NTV00,,a60ntv10,,,,,,,,,
a60up,a60up,age,persons age 60 years and over,A60UP70,,A60UP80,,A60UP90,,A60UP00,,a60up10,a60up12,,,,,,,,
a60wht,a60wht,age-race,60 years and older of white race,A60WHT70,,,a60wht80,A60WHT90,,A60WHT00,,a60wht10,,,,,,,,,
a65asn,a65asn,age-race,65 years and older of Asians and Pacific Islanders ,,,,,,,,,,a65asn12,,,,,,,,
a65blk,a65blk,age-race,65 years and older of black race,,,,,,,,,,a65blk12,,,,,,,,
a65hsp,a65hsp,age-race,"65 years and older, persons of Hispanic origins",,,,,,,,,,a65hsp12,,,,,,,,
a65ntv,a65ntv,age-race,65 years and older of Native American race ,,,,,,,,,,a65ntv12,,,,,,,,
a65wht,a65wht,age-race,65 years and older of non-Hispanic whites ,,,,,,,,,,a65wht12,,,,,,,,
a75up,a75up,age,persons age 75 years and over,A75UP70,,A75UP80,,A75UP90,,A75UP00,,a75up10,a75up12,,,,,,,,
ag15up,ag15up,age,"population 15 years and over (in 1970, population 14 years and over) ",AG15UP70,,AG15UP80,,AG15UP90,,,AG15UP00,,ag15up12,,,,,,,,
ag16cv,ag16cv,age,civilian population 16 years and over,,AG16CV70,,ag16cv80,,AG16CV90,,,,,,,,,,,,
ag18cv,ag18cv,age,civilian population 18 years and over,,,,,,,,AG18CV00,,ag18cv12,,,,,,,,
ag25up,ag25up,age,population 25 years and over,,AG25UP70,,ag25up80,,AG25UP90,,AG25UP00,,ag25up12,,,,,,,,
ag5up,ag5up,age,persons 5 years and over ,,,,ag5up80,,AG5UP90,,AG5UP00,,ag5up12,,,,,,,,
ageasn,ageasn,age-race,Asian and Pacific Islander population with known age distribution ,,,,ageasn80,AGEASN90,,AGEASN00,,ageasn10,ageasn12,,,,,,,,
ageblk,ageblk,age-race,black population with known age distribution ,AGEBLK70,,,ageblk80,AGEBLK90,,AGEBLK00,,ageblk10,ageblk12,,,,,,,,
agehsp,agehsp,age-race,Hispanic population with known age distribution ,,,,agehsp80,AGEHSP90,,AGEHSP00,,agehsp10,agehsp12,,,,,,,,
agentv,agentv,age-race,Native American population with known age distribution ,,,,agentv80,AGENTV90,,AGENTV00,,agentv10,agentv12,,,,,,,,
agewht,agewht,age-race,white population with known age distribution ,AGEWHT70,,,agewht80,AGEWHT90,,AGEWHT00,,agewht10,agewht12,,,,,,,,
asian,asian,race,persons of Asian race (and Pacific Islander),ASIAN70,,ASIAN80,,ASIAN90,,ASIAN00,,asian10,asian12,,,,,,,,
black,black,race,persons of black race ,BLACK70,,,,,,,,,,,,,,,,,
china,china,race,persons of Chinese race,CHINA70,,CHINA80,,CHINA90,,CHINA00,,china10,china12,,,,,,,,
clf,clf,ses,civilian labor force 16 years and over,,CLF70,,clf80,,CLF90,,CLF00,,clf12,,,,,,,,
cni16u,cni16u,age,civilian non-institutionalized persons 16-64 years old,,CNI16U70,,cni16u80,,CNI16U90,,CNI16U00,,,,,,,,,,
col,col,ses,college education,,COL70,,col80,,COL90,,COL00,,col12,,,,,,,,
cuban,cuban,ethnicity-immigration,Cubans,,CUBAN70,CUBAN80,,CUBAN90,,CUBAN00,,cuban10,cuban12,,,,,,,,
dapov,dapov,race-ses,Asians and Pacific Islanders for whom poverty status is determined,,,,dapov80,,DAPOV90,,DAPOV00,,dapov12,,,,,,,,
dbpov,dbpov,race-ses,black persons for whom poverty status is determined,,DBPOV70,,dbpov80,,DBPOV90,,DBPOV00,,dbpov12,,,,,,,,
dfb,dfb,ses,total population from sample-based dat ,,,,dfb80,,,,,,,,,,,,,,
dflabf,dflabf,ses,"females 16 years and over, except in armed forces ",,DFLABF70,,dflabf80,,DFLABF90,,DFLABF00,,dflabf12,,,,,,,,
dfmpov,dfmpov,ses,families for whom poverty status is determined ,,DFMPOV70,,dfmpov80,,DFMPOV90,,DFMPOV00,,dfmpov12,,,,,,,,
dhpov,dhpov,race-ses,Hispanics for whom poverty status is determined ,,,,dhpov80,,DHPOV90,,DHPOV00,,dhpov12,,,,,,,,
dis,dis,ses,disabled,,DIS70,,dis80,,DIS90,,DIS00,,,,,,,,,,
dmulti,dmulti,housing,housing units,DMULTI70,,,dmulti80,,DMULTI90,,DMULTI00,,dmulti12,,,,,,,,
dnapov,dnapov,race-ses,Native American for whom poverty status is determined ,,,,dnapov80,,DNAPOV90,,DNAPOV00,,dnapov12,,,,,,,,
dpov,dpov,ses,persons for whom poverty status is determined ,,DPOV70,,dpov80,,DPOV90,,DPOV00,,dpov12,,,,,,,,
dwpov,dwpov,race-ses,white persons for whom poverty status is determined ,,DWPOV70,,dwpov80,,DWPOV90,,DWPOV00,,dwpov12,,,,,,,,
empclf,empclf,ses,employed persons 16 years and over ,,EMPCLF70,,empclf80,,EMPCLF90,,EMPCLF00,,empclf12,,,,,,,,
family,family,ses,total families,,FAMILY70,,family80,,FAMILY90,FAMILY00,,family10,family12,,,,,,,,
fb,fb,ethnicity-immigration,foreign-born,,FB70,,fb80,,FB90,,FB00,,fb12,,,,,,,,
fhh,fhh,marital-status,female-headed families with children ,,FHH70,,fhh80,,FHH90,FHH00,,fhh10,fhh12,,,,,,,,
filip,filip,race,persons of Filipino race,FILIP70,,FILIP80,,FILIP90,,FILIP00,,filip10,filip12,,,,,,,,
flabf,flabf,ses,females in labor force,,FLABF70,,flabf80,,FLABF90,,FLABF00,,flabf12,,,,,,,,
geanc,geanc,ethnicity-immigration,persons of German parentage or ancestry ,,GEANC70,,geanc80,,GEANC90,,GEANC00,,geanc12,,,,,,,,
gefb,gefb,ethnicity-immigration,persons who were born in Germany ,,GEFB70,,gefb80,,GEFB90,,GEFB00,,gefb12,,,,,,,,
h10yrs,h10yrs,housing,"household heads moved into unit less than 10 years ago (in 2008-12 ACS, householders moved in 2000 or later)",,H10YRS70,,h10yrs80,,H10YRS90,,H10YRS00,,h10yrs12,,,,,,,,
h30old,h30old,housing,"structures built more than 30 years ago (in 2008-12 ACS, structures built 1979 or earlier)",,H30OLD70,,h30old80,,H30OLD90,,H30OLD00,,h30old12,,,,,,,,
haw,haw,race,persons of Hawaiian race,HAW70,,HAW80,,HAW90,,HAW00,,haw10,haw12,,,,,,,,
hh,hh,race,total households in sample-based data,,HH70,,hh80,,HH90,,HH00,,hh12,,,,,,,,
hha,hha,race,total Asian/Pacific Islander households in sample-based data,,,,hha80,,HHA90,,HHA00,,hha12,,,,,,,,
hhb,hhb,race,total black households in sample-based data ,,,,hhb80,,HHB90,,HHB00,,hhb12,,,,,,,,
hhh,hhh,race,total hispanic households in sample-based data,,,,hhh80,,HHH90,,HHH00,,hhh12,,,,,,,,
hhw,hhw,race,total white households in sample-based data ,,,,hhw80,,HHW90,,HHW00,,hhw12,,,,,,,,
hinc,hinc,race-ses,"Median HH income, total",,HINC70,,hinc80,,HINC90,,HINC00,,hinc12,,,,,,,,
hinca,hinca,race-ses,"Median HH income, Asian/Pacific Islander",,,,hinca80,,HINCA90,,HINCA00,,hinca12,,,,,,,,
hincb,hincb,race-ses,"Median HH income, blacks",,,,hincb80,,HINCB90,,HINCB00,,hincb12,,,,,,,,
hinch,hinch,race-ses,"Median HH income, Hispanics",,,,hinch80,,HINCH90,,HINCH00,,hinch12,,,,,,,,
hincw,hincw,race-ses,"Median HH income, whites",,,,hincw80,,HINCW90,,HINCW00,,hincw12,,,,,,,,
hisp,hisp,ethnicity-immigration,persons of Hispanic origin ,,,HISP80,,HISP90,,HISP00,,hisp10,hisp12,,,,,,,,
hs,hs,ses,persons with high school degree or less ,,HS70,,hs80,,HS90,,HS00,,hs12,,,,,,,,
hu,hu,housing,housing units,HU70,,HU80,,HU90,,HU00,,hu10,hu12,,,,,,,,
hu00,hu00,,,,,,,,,,HU00SP,,,,,,,,,,
hu70,hu70,,,,HU70SP,,,,,,,,,,,,,,,,
hu80,hu80,,,,,,hu80sp,,,,,,,,,,,,,,
hu90,hu90,,,,,,,,HU90SP,,,,,,,,,,,,
incpc,incpc,ses,Per capita income,,INCPC70,,incpc80,,INCPC90,,INCPC00,,incpc12,,,,,,,,
india,india,race,persons of Asian Indian race,INDIA70,,INDIA80,,INDIA90,,INDIA00,,india10,india12,,,,,,,,
iranc,iranc,ethnicity-immigration,persons of Irish parentage or ancestry ,,IRANC70,,iranc80,,IRANC90,,IRANC00,,iranc12,,,,,,,,
irfb,irfb,ethnicity-immigration,persons who were born in Ireland ,,IRFB70,,irfb80,,IRFB90,,IRFB00,,irfb12,,,,,,,,
itanc,itanc,ethnicity-immigration,persons of Italian parentage or ancestry ,,ITANC70,,itanc80,,ITANC90,,ITANC00,,itanc12,,,,,,,,
itfb,itfb,ethnicity-immigration,persons who were born in Italy ,,ITFB70,,itfb80,,ITFB90,,ITFB00,,itfb12,,,,,,,,
japan,japan,race,persons of Japanese race,JAPAN70,,JAPAN80,,JAPAN90,,JAPAN00,,japan10,japan12,,,,,,,,
korea,korea,race,persons of Korean race,KOREA70,,KOREA80,,KOREA90,,KOREA00,,korea10,korea12,,,,,,,,
lep,lep,ethnicity-immigration,persons who speak English not well ,,,,lep80,,LEP90,,LEP00,,lep12,,,,,,,,
manuf,manuf,ses,manufacturing employees (by industries) ,,MANUF70,,manuf80,,MANUF90,,MANUF00,,manuf12,,,,,,,,
