root,root2,category,definition,1970.f,1970.s,1980.f,1980.s,1990.f,1990.s,2000.f,2000.s,2010.f,2010.s,,,,,,,,
mar,mar,marital-status,currently married (excluding separated),Mar-70,,Mar-80,,Mar-90,,,,,,,,,,,,,
mar,mar.,marital-status,currently married (excluding separated),,,,,,,,Mar.00,,,,,,,,,,
mar,x12.m,marital-status,currently married (excluding separated),,,,,,,,,,X12.Mar,,,,,,,,
mex,mex,ethnicity-immigration,Mexicans,,MEX70,MEX80,,MEX90,,MEX00,,mex10,mex12,,,,,,,,
mhmval,mhmval,housing,Median home value,,MHMVAL70,MHMVAL80,,MHMVAL90,,,MHMVAL00,,mhmval12,,,,,,,,
mrent,mrent,housing,Median rent,,MRENT70,MRENT80,,MRENT90,,,MRENT00,,mrent12,,,,,,,,
multi,multi,housing,housing units in multi-unit structures ,MULTI70,,,multi80,,MULTI90,,MULTI00,,multi12,,,,,,,,
n10imm,n10imm,ethnicity-immigration,recent immigrants (within the past 10 years) ,,N10IMM70,,n10imm80,,N10IMM90,,N10IMM00,,n10imm12,,,,,,,,
n65pov,n65pov,ses,persons 65 years and older in poverty ,,N65POV70,,n65pov80,,N65POV90,,N65POV00,,n65pov12,,,,,,,,
napov,napov,race-ses,Native Americans in poverty ,,,,napov80,,NAPOV90,,NAPOV00,,napov12,,,,,,,,
nat,nat,ethnicity-immigration,naturalized foreign-born,,NAT70,,nat80,,NAT90,,NAT00,,nat12,,,,,,,,
nbpov,nbpov,race-ses,blacks in poverty,,NBPOV70,,nbpov80,,NBPOV90,,NBPOV00,,nbpov12,,,,,,,,
nfmpov,nfmpov,ses,families with children in poverty ,,NFMPOV70,,nfmpov80,,NFMPOV90,,NFMPOV00,,nfmpov12,,,,,,,,
nhblk,nhblk,race,"persons of black race, not Hispanic origin ",,,NHBLK80,,NHBLK90,,NHBLK00,,nhblk10,nhblk12,,,,,,,,
nhpov,nhpov,race-ses,Hispanics in poverty ,,,,nhpov80,,NHPOV90,,NHPOV00,,nhpov12,,,,,,,,
nhwht,nhwht,race,"persons of white race, not Hispanic origin ",,,NHWHT80,,NHWHT90,,NHWHT00,,nhwht10,nhwht12,,,,,,,,
nnapov,nnapov,race-ses,Native Americans in poverty ,,,,nnapov80,,NNAPOV90,,NNAPOV00,,nnapov12,,,,,,,,
npov,npov,ses,persons in poverty,,NPOV70,,npov80,,NPOV90,,NPOV00,,npov12,,,,,,,,
ntv,ntv,race,persons of Native American race ,,,NTV80,,NTV90,,NTV00,,ntv10,ntv12,,,,,,,,
nwpov,nwpov,race-ses,whites in poverty,,NWPOV70,,nwpov80,,NWPOV90,,NWPOV00,,nwpov12,,,,,,,,
ohu,ohu,housing,occupied housing units,OHU70,,OHU80,,OHU90,,OHU00,,ohu10,ohu12,,,,,,,,
ohu00,ohu00,,,,,,,,,,OHU00SP,,,,,,,,,,
ohu70,ohu70,,,,OHU70SP,,,,,,,,,,,,,,,,
ohu80,ohu80,,,,,,ohu80sp,,,,,,,,,,,,,,
ohu90,ohu90,,,,,,,,OHU90SP,,,,,,,,,,,,
olang,olang,ethnicity-immigration,persons who speak language other than English at home,,,,olang80,,OLANG90,,OLANG00,,olang12,,,,,,,,
own,own,housing,owner-occupied housing units,OWN70,,OWN80,,OWN90,,OWN00,,own10,own12,,,,,,,,
p10imm,p10imm,ethnicity-immigration,pct immigrated in past 10 years,,,,,,,,,,p10imm12,,,,,,,,
p10yrs,p10yrs,housing,pct HH in neighborhood 10 years or less,,,,,,,,,,p10yrs12,,,,,,,,
p15asn,p15asn,age-race,"pct 15 and under, Asian/Pacific Islander",,,,,,,,,,p15asn12,,,,,,,,
p15blk,p15blk,age-race,"pct 15 and under, non-Hispanic black",,,,,,,,,,p15blk12,,,,,,,,
p15hsp,p15hsp,age-race,"pct 15 and under, Hispanic",,,,,,,,,,p15hsp12,,,,,,,,
p15ntv,p15ntv,age-race,"pct 15 and under, Native American",,,,,,,,,,p15ntv12,,,,,,,,
p15wht,p15wht,age-race,"pct 15 and under, non-Hispanic white",,,,,,,,,,p15wht12,,,,,,,,
p18und,p18und,age-race,"pct 17 and under, total",,,,,,,,,,p18und12,,,,,,,,
p30old,p30old,housing,pct structures more than 30 years old,,,,,,,,,,p30old12,,,,,,,,
p60up,p60up,age-race,"pct 60 and older, total",,,,,,,,,,p60up12,,,,,,,,
p65asn,p65asn,age-race,pct of 65 years and older of Asians and Pacific Islanders,,,,,,,,,,p65asn12,,,,,,,,
p65blk,p65blk,age-race,pct of 65 years and older of black race ,,,,,,,,,,p65blk12,,,,,,,,
p65hsp,p65hsp,age-race,"pct of 65 years and older, persons of Hispanic origins ",,,,,,,,,,p65hsp12,,,,,,,,
p65ntv,p65ntv,age-race,pct of 65 years and older of Native American race ,,,,,,,,,,p65ntv12,,,,,,,,
p65pov,p65pov,ses,"pct in poverty, 65+",,,,,,,,,,p65pov12,,,,,,,,
p65wht,p65wht,age-race,pct of 65 years and older of non-Hispanic whites,,,,,,,,,,p65wht12,,,,,,,,
p75up,p75up,age,"pct 75 and older, total",,,,,,,,,,p75up12,,,,,,,,
papov,papov,ses,"pct in poverty, Asian/Pacific Islander",,,,,,,,,,papov12,,,,,,,,
pasian,pasian,race,pct Asian and Pacific Islander race,,,,,,,,,,pasian12,,,,,,,,
pbpov,pbpov,ses,"pct in poverty, African Americans",,,,,,,,,,pbpov12,,,,,,,,
pchina,pchina,race,pct Chinese birth/race,,,,,,,,,,pchina12,,,,,,,,
pcol,pcol,ses,pct with 4-year college degree or more,,,,,,,,,,pcol12,,,,,,,,
pcuban,pcuban,ethnicity-immigration,pct Cuban birth/ethnicity,,,,,,,,,,pcuban12,,,,,,,,
pfb,pfb,ethnicity-immigration,pct foreign born,,,,,,,,,,pfb12,,,,,,,,
pfhh,pfhh,marital-status,pct female-headed families with children,,,,,,,,,,pfhh12,,,,,,,,
pfilip,pfilip,race,pct Filipino birth/race,,,,,,,,,,pfilip12,,,,,,,,
pflabf,pflabf,ses,pct female labor force participation,,,,,,,,,,pflabf12,,,,,,,,
pfmpov,pfmpov,ses,"pct in poverty, families with children",,,,,,,,,,pfmpov12,,,,,,,,
pgeanc,pgeanc,ethnicity-immigration,pct German parentage/ancestry,,,,,,,,,,pgeanc12,,,,,,,,
pgefb,pgefb,ethnicity-immigration,pct German birth,,,,,,,,,,pgefb12,,,,,,,,
phaw,phaw,race,pct Hawaiian race,,,,,,,,,,phaw12,,,,,,,,
phisp,phisp,race,pct Hispanic,,,,,,,,,,phisp12,,,,,,,,
phpov,phpov,ses,"pct in poverty, Hispanics",,,,,,,,,,phpov12,,,,,,,,
phs,phs,ses,pct with high school degree or less,,,,,,,,,,phs12,,,,,,,,
pindia,pindia,race,pct Indian birth/race,,,,,,,,,,pindia12,,,,,,,,
piranc,piranc,ethnicity-immigration,pct Irish parentage/ancestry,,,,,,,,,,piranc12,,,,,,,,
pirfb,pirfb,ethnicity-immigration,pct Irish birth,,,,,,,,,,pirfb12,,,,,,,,
pitanc,pitanc,ethnicity-immigration,pct Italian parentage/ancestry,,,,,,,,,,pitanc12,,,,,,,,
pitfb,pitfb,ethnicity-immigration,pct Italian birth,,,,,,,,,,pitfb12,,,,,,,,
pjapan,pjapan,race,pct Japanese birth/race,,,,,,,,,,pjapan12,,,,,,,,
pkorea,pkorea,race,pct Korean birth/race,,,,,,,,,,pkorea12,,,,,,,,
plep,plep,ethnicity-immigration,"pct speaking English not well, age 5+",,,,,,,,,,plep12,,,,,,,,
pmanuf,pmanuf,ses,pct manufacturing employees,,,,,,,,,,pmanuf12,,,,,,,,
pmar,pmar,marital-status,"pct currently married, not separated",,,,,,,,,,pmar12,,,,,,,,
pmex,pmex,ethnicity-immigration,pct Mexican birth/ethnicity,,,,,,,,,,pmex12,,,,,,,,
pmulti,pmulti,housing,pct multi-family units,,,,,,,,,,pmulti12,,,,,,,,
pnapov,pnapov,race-ses,"pct in poverty, Native Americans",,,,,,,,,,pnapov12,,,,,,,,
pnat,pnat,ethnicity-immigration,pct Naturalized,,,,,,,,,,pnat12,,,,,,,,
pnhblk,pnhblk,race,"pct of persons of black race, not Hispanic origin",,,,,,,,,,pnhblk12,,,,,,,,
pnhwht,pnhwht,race,"pct of persons white, not Hispanic origin",,,,,,,,,,pnhwht12,,,,,,,,
pntv,pntv,race,pct Native American race,,,,,,,,,,pntv12,,,,,,,,
polang,polang,ethnicity-immigration,"pct speaking other language at home, age 5+",,,,,,,,,,polang12,,,,,,,,
pop,pop,demographics,total population,POP70,,POP80,,POP90,,POP00,,pop10,pop12,,,,,,,,
pop,popsf3,demographics,,,,,pop80sf3,,POP90SF3,,POP00SF3,,,,,,,,,,
pop,popsf4,demographics,,,,,pop80sf4,,POP90SF4,,,,,,,,,,,,
pop,popsp1,demographics,,,POP70SP1,,,,,,,,,,,,,,,,
pop,popsp2,demographics,,,POP70SP2,,,,,,,,,,,,,,,,
pown,pown,housing,pct owner-occupied units,,,,,,,,,,pown12,,,,,,,,
ppov,ppov,ses,"pct in poverty, total",,,,,,,,,,ppov12,,,,,,,,
ppr,ppr,ethnicity-immigration,pct Puerto Rican birth/ethnicity,,,,,,,,,,ppr12,,,,,,,,
pprof,pprof,ses,pct professional employees,,,,,,,,,,pprof12,,,,,,,,
pr,pr,ethnicity-immigration,puerto rican,,PR70,PR80,,PR90,,PR00,,pr10,pr12,,,,,,,,
prof,prof,ses,count of professional employees,,PROF70,,prof80,,PROF90,,PROF00,,prof12,,,,,,,,
pruanc,pruanc,ethnicity-immigration,pct Russian/USSR parentage/ancestry,,,,,,,,,,pruanc12,,,,,,,,
prufb,prufb,ethnicity-immigration,pct Russian/USSR birth,,,,,,,,,,prufb12,,,,,,,,
pscanc,pscanc,ethnicity-immigration,pct Scandinavian parentage/ancestry,,,,,,,,,,pscanc12,,,,,,,,
pscfb,pscfb,ethnicity-immigration,pct Scandinavian birth,,,,,,,,,,pscfb12,,,,,,,,
psemp,psemp,ses,pct self-employed,,,,,,,,,,psemp12,,,,,,,,
punemp,punemp,ses,pct unemployed,,,,,,,,,,punemp12,,,,,,,,
pvac,pvac,housing,pct vacant units,,,,,,,,,,pvac12,,,,,,,,
pvet,pvet,ses,pct veteran,,,,,,,,,,pvet12,,,,,,,,
pviet,pviet,race,pct Vietnamese race,,,,,,,,,,pviet12,,,,,,,,
pwds,pwds,marital-status,"pct widowed, divorced and separated",,,,,,,,,,pwds12,,,,,,,,
pwpov,pwpov,race-ses,"pct in poverty, whites",,,,,,,,,,pwpov12,,,,,,,,
rent,rent,housing,renter-occupied housing units,RENT70,,RENT80,,RENT90,,RENT00,,rent10,rent12,,,,,,,,
ruanc,ruanc,ethnicity-immigration,persons of Russian/USSR parentage or ancestry ,,RUANC70,,ruanc80,,RUANC90,,RUANC00,,ruanc12,,,,,,,,
rufb,rufb,ethnicity-immigration,persons who were born in Russia/ USSR ,,RUFB70,,rufb80,,RUFB90,,RUFB00,,rufb12,,,,,,,,
scanc,scanc,ethnicity-immigration,"persons of Scandinavian parentage/ancestry (Finnish, Swedish, Danish, Norwegian)",,SCANC70,,scanc80,,SCANC90,,SCANC00,,scanc12,,,,,,,,
scfb,scfb,ethnicity-immigration,"persons who were born in Scandinavian Countries (Swedish, Norwegian, Finnish, Danish)",,SCFB70,,scfb80,,SCFB90,,SCFB00,,scfb12,,,,,,,,
semp,semp,ses,self-employed,,SEMP70,,semp80,,SEMP90,,SEMP00,,semp12,,,,,,,,
unemp,unemp,ses,unemployed,,UNEMP70,,unemp80,,UNEMP90,,UNEMP00,,unemp12,,,,,,,,
vac,vac,housing,vacant housing units,VAC70,,VAC80,,VAC90,,VAC00,,vac10,vac12,,,,,,,,
vet,vet,ses,veterans,,VET70,,vet80,,VET90,,VET00,,vet12,,,,,,,,
viet,viet,race,persons of Vietnamese race ,,,VIET80,,VIET90,,VIET00,,viet10,viet12,,,,,,,,
wds,wds,marital-status,"widowed, divorced, and separated ",WDS70,,WDS80,,WDS90,,,WDS00,,wds12,,,,,,,,
white,white,race,persons of white race ,WHITE70,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,